task,condition,control,control_sd,row_n,coef,se,pval
1,1,19.34090909090909,7.736783725175985,135,2.816841642422778,1.592875497387766,.0792360307549237
1,3,19.34090909090909,7.736783725175985,135,1.395561458352121,.8607651731106695,.1072687797049263
2,1,17.30232558139535,5.557212746559239,125,.4826231344657717,1.536728065781773,.7539575299194663
2,3,17.30232558139535,5.557212746559239,125,1.149128692152072,1.268699491545453,.3666683328150221
3,1,24.4,5.8124534737592,127,4.711348534031631,1.653088225743808,.0050525536622354
3,3,24.4,5.8124534737592,127,5.007905938728477,1.809472582512902,.0064342004111406
4,1,26.3953488372093,3.566641309770039,127,-.4095149467243155,1.605178488455083,.7990149503529717
4,3,26.3953488372093,3.566641309770039,127,-2.151150098792097,1.6351124492294,.1905226360098889
5,1,17.48888888888889,5.594730565542018,127,1.922309559518914,1.517794129198094,.207493513848338
5,3,17.48888888888889,5.594730565542018,127,1.395561458352121,.8607651731106695,.1072687797049263
6,1,19.56410256410257,8.210374925072326,126,6.389173186847637,1.661842819453314,.0001846940183357
6,3,19.56410256410257,8.210374925072326,126,1.395561458352121,.8607651731106695,.1072687797049263
